Applied Nodal Loadvector Loadcase      2
  Node     PXX[N]     PYY[N]     PZZ[N]    MXX[Nm]    MYY[Nm]    MZZ[Nm]
  2598       0.00       0.00    -379.00       0.00       0.00       0.00
  2599       0.00       0.00    -480.54       0.00       0.00       0.00
  2600       0.00       0.00    -538.27       0.00       0.00       0.00
  2601       0.00       0.00    -468.55       0.00       0.00       0.00
  2602       0.00       0.00    -393.51       0.00       0.00       0.00
  2603       0.00       0.00    -414.12       0.00       0.00       0.00
  2604       0.00       0.00    -421.70       0.00       0.00       0.00
  2605       0.00       0.00    -440.63       0.00       0.00       0.00
  2606       0.00       0.00    -266.47       0.00       0.00       0.00
  2607       0.00       0.00    -268.54       0.00       0.00       0.00
  2608       0.00       0.00    -264.02       0.00       0.00       0.00
  2609       0.00       0.00    -346.58       0.00       0.00       0.00
  2610       0.00       0.00    -457.80       0.00       0.00       0.00
  2611       0.00       0.00    -279.25       0.00       0.00       0.00
  2612       0.00       0.00    -368.39       0.00       0.00       0.00
  2613       0.00       0.00    -160.38       0.00       0.00       0.00
  2614       0.00       0.00    -153.63       0.00       0.00       0.00
  2615       0.00       0.00    -144.72       0.00       0.00       0.00
  2616       0.00       0.00    -139.82       0.00       0.00       0.00
  2617       0.00       0.00    -134.38       0.00       0.00       0.00
  2618       0.00       0.00    -161.70       0.00       0.00       0.00
  2619       0.00       0.00    -205.04       0.00       0.00       0.00
  2620       0.00       0.00    -245.68       0.00       0.00       0.00
  2621       0.00       0.00    -280.63       0.00       0.00       0.00
  2622       0.00       0.00    -381.29       0.00       0.00       0.00
  2623       0.00       0.00    -263.05       0.00       0.00       0.00
  2624       0.00       0.00    -247.26       0.00       0.00       0.00
  2625       0.00       0.00    -253.41       0.00       0.00       0.00
  2626       0.00       0.00    -180.54       0.00       0.00       0.00
  2627       0.00       0.00    -155.15       0.00       0.00       0.00
  2628       0.00       0.00    -130.08       0.00       0.00       0.00
  2629       0.00       0.00    -108.07       0.00       0.00       0.00
  2630       0.00       0.00    -119.02       0.00       0.00       0.00
  2631       0.00       0.00    -129.89       0.00       0.00       0.00
  2632       0.00       0.00    -142.52       0.00       0.00       0.00
  2633       0.00       0.00    -170.34       0.00       0.00       0.00
  2634       0.00       0.00    -187.24       0.00       0.00       0.00
  2635       0.00       0.00    -181.87       0.00       0.00       0.00
  2636       0.00       0.00    -162.76       0.00       0.00       0.00
  2637       0.00       0.00    -155.80       0.00       0.00       0.00
  2638       0.00       0.00    -155.99       0.00       0.00       0.00
  2639       0.00       0.00    -171.34       0.00       0.00       0.00
  2640       0.00       0.00    -215.68       0.00       0.00       0.00
  2641       0.00       0.00    -254.14       0.00       0.00       0.00
  2642       0.00       0.00    -292.05       0.00       0.00       0.00
  2643       0.00       0.00    -312.18       0.00       0.00       0.00
  2644       0.00       0.00    -420.25       0.00       0.00       0.00
  2645       0.00       0.00    -249.83       0.00       0.00       0.00
  3069       0.00       0.00     -50.58       0.00       0.00       0.00
  3070       0.00       0.00     -56.81       0.00       0.00       0.00
  3071       0.00       0.00     -70.03       0.00       0.00       0.00
  3072       0.00       0.00     -84.46       0.00       0.00       0.00
  3073       0.00       0.00     -92.75       0.00       0.00       0.00
  3074       0.00       0.00     -82.10       0.00       0.00       0.00
  3075       0.00       0.00     -65.28       0.00       0.00       0.00
  3076       0.00       0.00     -84.95       0.00       0.00       0.00
  3077       0.00       0.00    -101.73       0.00       0.00       0.00
  3078       0.00       0.00     -94.21       0.00       0.00       0.00
  3079       0.00       0.00     -77.82       0.00       0.00       0.00
  3080       0.00       0.00     -59.24       0.00       0.00       0.00
  3082       0.00       0.00     -76.45       0.00       0.00       0.00
  3083       0.00       0.00    -115.96       0.00       0.00       0.00
  3084       0.00       0.00    -119.80       0.00       0.00       0.00
  3085       0.00       0.00    -101.59       0.00       0.00       0.00
  3086       0.00       0.00     -74.30       0.00       0.00       0.00
  3088       0.00       0.00     -52.90       0.00       0.00       0.00
  3089       0.00       0.00     -68.67       0.00       0.00       0.00
  3090       0.00       0.00     -80.85       0.00       0.00       0.00
  3091       0.00       0.00     -74.86       0.00       0.00       0.00
  3092       0.00       0.00     -68.17       0.00       0.00       0.00
  3093       0.00       0.00     -60.48       0.00       0.00       0.00
  3094       0.00       0.00     -60.96       0.00       0.00       0.00
  3095       0.00       0.00     -65.07       0.00       0.00       0.00
  3099       0.00       0.00     -56.36       0.00       0.00       0.00
  3100       0.00       0.00     -76.20       0.00       0.00       0.00
  3101       0.00       0.00    -100.33       0.00       0.00       0.00
  3102       0.00       0.00    -118.21       0.00       0.00       0.00
  3103       0.00       0.00    -119.66       0.00       0.00       0.00
  3104       0.00       0.00    -115.64       0.00       0.00       0.00
  3105       0.00       0.00    -107.88       0.00       0.00       0.00
  3106       0.00       0.00     -94.15       0.00       0.00       0.00
  3107       0.00       0.00     -80.27       0.00       0.00       0.00
  3108       0.00       0.00     -75.22       0.00       0.00       0.00
  3109       0.00       0.00     -83.12       0.00       0.00       0.00
  3110       0.00       0.00    -108.67       0.00       0.00       0.00
  3111       0.00       0.00    -134.82       0.00       0.00       0.00
  3112       0.00       0.00    -133.89       0.00       0.00       0.00
  3113       0.00       0.00    -101.58       0.00       0.00       0.00
  3114       0.00       0.00     -72.02       0.00       0.00       0.00
  3115       0.00       0.00     -93.28       0.00       0.00       0.00
  3116       0.00       0.00    -115.66       0.00       0.00       0.00
  3117       0.00       0.00    -122.94       0.00       0.00       0.00
  3118       0.00       0.00    -124.15       0.00       0.00       0.00
  3119       0.00       0.00    -106.40       0.00       0.00       0.00
  3120       0.00       0.00     -82.65       0.00       0.00       0.00
  3121       0.00       0.00    -110.08       0.00       0.00       0.00
  3122       0.00       0.00    -136.62       0.00       0.00       0.00
  3123       0.00       0.00    -143.68       0.00       0.00       0.00
  3124       0.00       0.00    -144.81       0.00       0.00       0.00
  3125       0.00       0.00    -123.81       0.00       0.00       0.00
  3126       0.00       0.00     -97.61       0.00       0.00       0.00
  3127       0.00       0.00    -137.81       0.00       0.00       0.00
  3128       0.00       0.00    -171.72       0.00       0.00       0.00
  3129       0.00       0.00    -142.12       0.00       0.00       0.00
  3130       0.00       0.00    -100.35       0.00       0.00       0.00
  3131       0.00       0.00    -128.72       0.00       0.00       0.00
  3132       0.00       0.00    -152.05       0.00       0.00       0.00
  3133       0.00       0.00    -146.98       0.00       0.00       0.00
  3134       0.00       0.00    -130.70       0.00       0.00       0.00
  3135       0.00       0.00     -96.69       0.00       0.00       0.00
  3136       0.00       0.00     -67.47       0.00       0.00       0.00
  3137       0.00       0.00     -73.14       0.00       0.00       0.00
  3138       0.00       0.00     -74.85       0.00       0.00       0.00
  3139       0.00       0.00    -187.75       0.00       0.00       0.00
  3140       0.00       0.00     -83.68       0.00       0.00       0.00
  3141       0.00       0.00    -212.61       0.00       0.00       0.00
  3142       0.00       0.00    -191.04       0.00       0.00       0.00
  3143       0.00       0.00    -153.52       0.00       0.00       0.00
  3144       0.00       0.00    -113.52       0.00       0.00       0.00
  3145       0.00       0.00    -132.48       0.00       0.00       0.00
  3146       0.00       0.00    -142.04       0.00       0.00       0.00
  3147       0.00       0.00    -130.98       0.00       0.00       0.00
  3148       0.00       0.00    -117.85       0.00       0.00       0.00
  3149       0.00       0.00    -124.20       0.00       0.00       0.00
  3150       0.00       0.00    -144.05       0.00       0.00       0.00
  3151       0.00       0.00    -150.13       0.00       0.00       0.00
  3152       0.00       0.00    -141.38       0.00       0.00       0.00
  3153       0.00       0.00    -116.98       0.00       0.00       0.00
  3154       0.00       0.00     -92.67       0.00       0.00       0.00
  3155       0.00       0.00     -75.43       0.00       0.00       0.00
  3156       0.00       0.00     -59.91       0.00       0.00       0.00
  3157       0.00       0.00     -85.62       0.00       0.00       0.00
  3158       0.00       0.00    -115.49       0.00       0.00       0.00
  3159       0.00       0.00    -184.51       0.00       0.00       0.00
  3160       0.00       0.00     -68.68       0.00       0.00       0.00
  3161       0.00       0.00     -73.73       0.00       0.00       0.00
  3162       0.00       0.00     -75.42       0.00       0.00       0.00
  3163       0.00       0.00     -68.07       0.00       0.00       0.00
  3164       0.00       0.00     -61.02       0.00       0.00       0.00
  3165       0.00       0.00     -53.46       0.00       0.00       0.00
  3169       0.00       0.00     -55.45       0.00       0.00       0.00
  3170       0.00       0.00     -70.49       0.00       0.00       0.00
  3171       0.00       0.00     -83.03       0.00       0.00       0.00
  3172       0.00       0.00     -79.85       0.00       0.00       0.00
  3173       0.00       0.00     -70.74       0.00       0.00       0.00
  3174       0.00       0.00    -116.85       0.00       0.00       0.00
  3175       0.00       0.00    -181.07       0.00       0.00       0.00
  3176       0.00       0.00    -243.54       0.00       0.00       0.00
  3177       0.00       0.00    -287.40       0.00       0.00       0.00
  3178       0.00       0.00    -245.82       0.00       0.00       0.00
  3179       0.00       0.00    -184.24       0.00       0.00       0.00
  3180       0.00       0.00    -249.71       0.00       0.00       0.00
  3181       0.00       0.00    -322.81       0.00       0.00       0.00
  3182       0.00       0.00    -345.34       0.00       0.00       0.00
  3183       0.00       0.00    -339.60       0.00       0.00       0.00
  3184       0.00       0.00    -364.26       0.00       0.00       0.00
  3185       0.00       0.00    -404.25       0.00       0.00       0.00
  3186       0.00       0.00    -501.76       0.00       0.00       0.00
  3187       0.00       0.00    -569.08       0.00       0.00       0.00
  3188       0.00       0.00    -436.06       0.00       0.00       0.00
  3189       0.00       0.00    -299.60       0.00       0.00       0.00
  3190       0.00       0.00    -271.59       0.00       0.00       0.00
  3191       0.00       0.00    -245.28       0.00       0.00       0.00
  3192       0.00       0.00    -199.67       0.00       0.00       0.00
  3193       0.00       0.00    -152.40       0.00       0.00       0.00
  3194       0.00       0.00    -175.69       0.00       0.00       0.00
  3195       0.00       0.00    -185.61       0.00       0.00       0.00
  3196       0.00       0.00    -164.74       0.00       0.00       0.00
  3197       0.00       0.00    -136.71       0.00       0.00       0.00
  3565       0.00       0.00     -55.11       0.00       0.00       0.00
  3566       0.00       0.00     -61.25       0.00       0.00       0.00
  3567       0.00       0.00     -61.68       0.00       0.00       0.00
  3568       0.00       0.00     -63.30       0.00       0.00       0.00
  3569       0.00       0.00     -76.01       0.00       0.00       0.00
  3570       0.00       0.00     -89.75       0.00       0.00       0.00
  3571       0.00       0.00     -99.57       0.00       0.00       0.00
  3572       0.00       0.00     -91.61       0.00       0.00       0.00
  3573       0.00       0.00     -74.82       0.00       0.00       0.00
  3574       0.00       0.00     -59.75       0.00       0.00       0.00
  3580       0.00       0.00    -137.27       0.00       0.00       0.00
  3581       0.00       0.00    -109.14       0.00       0.00       0.00
